final_price,available_for_delivery,available_for_pickup,brand,review_count,product_id,product_name,category_name,root_category_name,rating,initial_price,discount
22.9,True,False,Laura Mercier,6,173530386,Laura Mercier Caviar Stick Eye Color Sugar Frost 1.64g/0.05oz,Eye Shadow Stick,Beauty,4,28.814999999999998,11.002
47.9,True,False,Exultantex,58,430528189,"Exultantex Grey Blackout Curtains for Living Room,Pom Pom Thermal Window Curtains,50""W x 95""L, 2 Panels, Rod Pocket",Blackout Curtains,Home,4.6,70.8,22.92
33.2,True,False,Jessica London,2,6013308220,Jessica London Women's Plus Size Stretch Knit V-Neck Swing Tunic,Plus Size Tops,Clothing,5,37.99,4.75
50.0,True,False,Simply Put,101,161657830,100% Cotton King Percale Duvet Set (3 Piece) Blue Distress Tile Print by Simply Put,King Duvet Covers,Home,4.7,71.99,22.0
13.0,True,False,Disney,15,5397071399,Disney Boys Graphic Tee Donald Duck Short Sleeves T-Shirt Top Summer Outfits Clothes Sizes 3-10T,Boys Outfit Sets,Clothing,4.4,29.0,16.01
28.0,True,False,Vanity Fair,95,512809025,Women's Vanity Fair 75201 Nearly Invisible Full Coverage Underwire Bra (Black 40C),Underwire Bras,Clothing,4.4,40.0,12.0
20.0,True,False,Ibtom Castle,12,2749504314,IBTOM CASTLE Women's One Piece Rash Guard Swimsuit UV Protection Floral Printed Surfing Zipper Swimwear Bathing Suit Beachwear S Green Leaves,Womens One-piece Swimsuits,Clothing,4.3,31.99,12.0
23.0,True,False,a.Jesdani,336,5184785010,a.Jesdani Women's Cardigan Classic Casual Lightweight Knit Cardigan Sweaters S-XXL,Womens Workwear Sweaters,Clothing,4.2,25.99,3.0
6.09,True,False,Way To Celebrate,203,5164703747,"4th of July Womens Lounger Sleepshirt by Way To Celebrate, Sizes S to 3X",Womens Nightshirts & Gowns,Clothing,4.7,11.98,5.89
25.0,True,False,Vulcanodon,68,5155961106,"Vulcanodon Mens Pajama Set 100% Cotton, Long Sleeve Button Down PJ Set for Men Plaid Men's Sleepwear(Red Blue-Plaid, Large)",Mens Pajama Sets,Clothing,4.6,37.99,13.0
37.0,True,False,Grande Cosmetics,6356,908232424,"Grande Cosmetics GrandeLash MD Eyelash Formula, 2mL (New Packaging)",Eyelash Enhancer,Beauty,4.6,68.0,31.02
46.5,True,False,nuLOOM,49,904020893,nuLOOM Vintage Erline Area Rug,Floor Decor,Home,4.7,56.2,9.71
123.0,True,False,Georgia Boot,242,17245067,Georgia Giant Work Boot Size 10.5(W),Mens Wide Shoes,Clothing,4.5,178.53,55.53
49.5,True,False,Amay's,8,2363655537,Amay 800 Thread Count 100% Organic Cotton Short Queen Size 1PC Flat Sheet (90x102 ) Pink Striped,Colored Sheets,Home,5,55.0,5.5
44.9,True,False,Hard Tail,11,5702032013,"Hard Tail Women's French Terry Sweatshirt and Pant Set, 2-Piece, Sizes S-3X",Womens Two Piece Sets,Clothing,4.2,59.88,15.0
