category_key,category_name,root_category_name
1,Eye Shadow Stick,Beauty
2,Blackout Curtains,Home
3,Plus Size Tops,Clothing
4,King Duvet Covers,Home
5,Boys Outfit Sets,Clothing
6,Underwire Bras,Clothing
7,Womens One-piece Swimsuits,Clothing
8,Womens Workwear Sweaters,Clothing
9,Womens Nightshirts & Gowns,Clothing
10,Mens Pajama Sets,Clothing
11,Eyelash Enhancer,Beauty
12,Floor Decor,Home
13,Mens Wide Shoes,Clothing
14,Colored Sheets,Home
15,Womens Two Piece Sets,Clothing
16,Men's Disney Tees,Clothing
17,Womens Workout Bottoms,Clothing
18,Tshirts for Women,Clothing
19,Cycling Pants,Sports & Outdoors
20,Shoe Racks,Home
21,Womens Tank Tops,Clothing
22,Mens Slim Fit Jeans,Clothing
23,Throw Pillow Covers,Home
24,Mens Jeans,Clothing
25,Bed Blankets,Home
26,All Makeup,Beauty
27,Cooling Sheets,Home
28,Lingerie Sets,Clothing
29,Upholstered Headboards,Home
30,Shop All Bar Stools & Counter Stools,Home
31,Medium Roast Coffee,Food
32,Mens Rings,Jewelry
33,Womens Blouses,Clothing
34,Dry Mouth Mouthwash,Personal Care
35,Full Bases,Patio & Garden
36,Baby Girls Clothing,Clothing
37,Shop All Patio Furniture,Patio & Garden
38,Bedding Sets,Home
39,Mens Workout Shirts,Clothing
40,White Sheets,Home
41,Oral Care Accessories,Personal Care
42,Golf Shirts,Sports & Outdoors
43,Womens Rings,Jewelry
44,Block Heels,Clothing
45,Plus Size Activewear,Clothing
46,Womens Sweatshirts & Hoodies,Clothing
47,Heating Mattress toppers,Home
48,Adult Electric Scooters,Sports & Outdoors
49,Stilettos,Clothing
50,Beta Carotene,Health and Medicine
51,Plus Size Jeans,Clothing
52,Workout Leggings,Clothing
53,Ballet Flats,Clothing
54,Plus Size Tshirts,Clothing
55,Bed Sheets,Home
56,Pillowcases,Home
57,Shop Curtains,Home
58,Bed Skirts,Home
59,Twin Sheets,Home
60,Womens Shoes,Clothing
61,Big and Tall Graphic Tees,Clothing
62,Womens Leggings,Clothing
63,Womens Pajama Sets,Clothing
64,Womens Athletic Shorts,Clothing
65,Pets Subscription,Pets
66,Premium Cologne for Men,Premium Beauty
67,Boys Athletic Shirts,Clothing
68,Mens Workout Pants,Clothing
69,Hanes Mens T-Shirts,Clothing
70,Aftershaves,Personal Care
71,Sheet Sets,Home
72,Baby Girls Casual Dresses,Clothing
73,Lunchbox favorites,Food
74,Gray Dressers,Home
75,Womens Over the Knee Boots,Clothing
76,Quilt Sets,Home
77,Anniversary Rings,Jewelry
78,Dresses,Clothing
79,Womens Boyfriend Jeans,Clothing
80,Womens Casual Shoes,Clothing
81,Cocokind,Beauty
82,Men's Character Shop,Clothing
83,Shop All Teens' Bedding,Home
84,Couch Covers,Home
85,Briefs,Clothing
86,Womens Pants,Clothing
87,All Area Rugs,Home
88,Campbell's,Food
89,Mens Jewelry,Jewelry
90,Wireless Bras,Clothing
91,Mens Robes,Clothing
92,Comforter Sets,Home
93,Dietary supplements,Health and Medicine
94,Seasoning mixes & blends,Food
95,Mens T-Shirts,Clothing
96,Toddler Bedding Sets & Sheets,Baby
97,Desk Chairs,Home
98,School Backpacks,Clothing
99,Young Adult Sweatshirts & Hoodies,Clothing
100,Static Guard,Household Essentials
101,Womens Activewear,Clothing
102,Painter's Tape,Home Improvement
103,Pillow Top Mattress Toppers,Home
104,Sateen Sheets,Home
105,Boys Sandals,Clothing
106,MaryRuth Organics,Health and Medicine
107,Insoles,Health and Medicine
108,Size 4 Diapers,Baby
109,Maternity Blouses & Shirts,Clothing
110,Cardigans for Women,Clothing
111,Plus Size Pants,Clothing
112,Metallic Decorative Baking,Party & Occasions
113,Men's Movies and TV Tees,Clothing
114,Girls Dress Shoes,Clothing
115,Womens Dresses,Clothing
116,Party Dresses,Clothing
117,Water Flavoring,Food
118,Women's Body Wash,Personal Care
119,Womens Plus Skirts,Clothing
120,Mens Cargo Shorts,Clothing
121,Womens Plus Swimsuits,Clothing
122,Toddler Girls Outfit Sets,Clothing
123,Halloween Themed Clothing,Party & Occasions
124,Baby Snack Foods,Baby
125,Nails,Beauty
126,Denim Dressing,Clothing
127,Big Girls One-piece Pajamas,Clothing
128,Pajama Bottoms,Clothing
129,Womens Water Shoes,Clothing
130,Down Alternative Comforters,Home
131,Juniors Jeans,Clothing
132,Clean & Clear,Beauty
133,Girls Dresses,Clothing
134,High Heels,Clothing
135,Water Shoes,Clothing
136,Boys Athletic Shoes,Clothing
137,Mens Shorts,Clothing
138,Boxed christmas chocolate,Food
139,Womens Tops,Clothing
140,Womens Dress Boots,Clothing
141,Womens Petite Plus Size,Clothing
142,Wedges,Clothing
143,Garnier Hair Care,Beauty
144,Fine Jewelry,Jewelry
145,Conditioning Hair Color,Beauty
146,Womens Joggers,Clothing
147,Young Adult Pajamas,Clothing
148,Trading Card Binders & Sleeves,Collectibles
149,Womens Sandals,Clothing
150,Jessica London,Clothing
151,Womens Sweaters,Clothing
152,Slipcovers,Home
153,Shop All Fabric,Arts Crafts & Sewing
154,Mineral Sunscreen,Personal Care
155,All Powdered Drink Mix,Food
156,Lipstick,Beauty
157,Mens Casual Button Down Shirts,Clothing
158,All Mascara,Beauty
159,Hipsters,Clothing
160,Womens Booties,Clothing
161,Kids' Cereal,Food
162,Rawhides,Pets
163,All Runner Rugs,Home
164,Plus Size Dresses,Clothing
165,Womens Swimsuit Tops,Clothing
166,Yellow Paint,Home Improvement
167,Baby Boys Casual Outfit Sets,Clothing
168,Shoelaces,Household Essentials
169,Mens Cargo Pants,Clothing
170,Men's Styling Products,Personal Care
171,Womens Workwear Blouses,Clothing
172,Mens Work Uniforms,Clothing
173,Ice Cream Bars,Food
174,Mens Oxfords Shoes,Clothing
175,Womens White Dresses,Clothing
176,Girls Uniform Bottoms,Clothing
177,Womens Hoodies,Clothing
178,Look Good While Working Out,Health and Medicine
179,Maternity T-Shirts,Clothing
180,Casual Dresses,Clothing
181,Cologne for Men,Beauty
182,Cotton Sheets,Home
