date_key,full_date,day,day_name,day_of_week,is_weekend,month,month_name,quarter,week_of_year,year
20100205,2010-02-05,5,Friday,5,0,2,February,1,5,2010
20100206,2010-02-06,6,Saturday,6,1,2,February,1,5,2010
20100207,2010-02-07,7,Sunday,7,1,2,February,1,5,2010
20100208,2010-02-08,8,Monday,1,0,2,February,1,6,2010
20100209,2010-02-09,9,Tuesday,2,0,2,February,1,6,2010
20100210,2010-02-10,10,Wednesday,3,0,2,February,1,6,2010
20100211,2010-02-11,11,Thursday,4,0,2,February,1,6,2010
20100212,2010-02-12,12,Friday,5,0,2,February,1,6,2010
20100213,2010-02-13,13,Saturday,6,1,2,February,1,6,2010
20100214,2010-02-14,14,Sunday,7,1,2,February,1,6,2010
20100215,2010-02-15,15,Monday,1,0,2,February,1,7,2010
20100216,2010-02-16,16,Tuesday,2,0,2,February,1,7,2010
20100217,2010-02-17,17,Wednesday,3,0,2,February,1,7,2010
20100218,2010-02-18,18,Thursday,4,0,2,February,1,7,2010
20100219,2010-02-19,19,Friday,5,0,2,February,1,7,2010
20100220,2010-02-20,20,Saturday,6,1,2,February,1,7,2010
20100221,2010-02-21,21,Sunday,7,1,2,February,1,7,2010
20100222,2010-02-22,22,Monday,1,0,2,February,1,8,2010
20100223,2010-02-23,23,Tuesday,2,0,2,February,1,8,2010
20100224,2010-02-24,24,Wednesday,3,0,2,February,1,8,2010
20100225,2010-02-25,25,Thursday,4,0,2,February,1,8,2010
20100226,2010-02-26,26,Friday,5,0,2,February,1,8,2010
20100227,2010-02-27,27,Saturday,6,1,2,February,1,8,2010
20100228,2010-02-28,28,Sunday,7,1,2,February,1,8,2010
20100301,2010-03-01,1,Monday,1,0,3,March,1,9,2010
20100302,2010-03-02,2,Tuesday,2,0,3,March,1,9,2010
20100303,2010-03-03,3,Wednesday,3,0,3,March,1,9,2010
20100304,2010-03-04,4,Thursday,4,0,3,March,1,9,2010
20100305,2010-03-05,5,Friday,5,0,3,March,1,9,2010
20100306,2010-03-06,6,Saturday,6,1,3,March,1,9,2010
20100307,2010-03-07,7,Sunday,7,1,3,March,1,9,2010
20100308,2010-03-08,8,Monday,1,0,3,March,1,10,2010
20100309,2010-03-09,9,Tuesday,2,0,3,March,1,10,2010
20100310,2010-03-10,10,Wednesday,3,0,3,March,1,10,2010
20100311,2010-03-11,11,Thursday,4,0,3,March,1,10,2010
20100312,2010-03-12,12,Friday,5,0,3,March,1,10,2010
20100313,2010-03-13,13,Saturday,6,1,3,March,1,10,2010
20100314,2010-03-14,14,Sunday,7,1,3,March,1,10,2010
20100315,2010-03-15,15,Monday,1,0,3,March,1,11,2010
20100316,2010-03-16,16,Tuesday,2,0,3,March,1,11,2010
20100317,2010-03-17,17,Wednesday,3,0,3,March,1,11,2010
20100318,2010-03-18,18,Thursday,4,0,3,March,1,11,2010
20100319,2010-03-19,19,Friday,5,0,3,March,1,11,2010
