product_id,product_name,brand,price,initial_price,discount,review_count,rating,category_name,root_category_name,available_for_delivery,available_for_pickup,source_product_id,source
PROD_93e7e0f0d0,Laura Mercier Caviar Stick Eye Color Sugar Frost 1.64g/0.05oz,Laura Mercier,22.9,28.815,11.002,6,4.0,Eye Shadow Stick,Beauty,True,False,173530386,walmart
PROD_174824eced,"Exultantex Grey Blackout Curtains for Living Room,Pom Pom Thermal Window Curtains,50""W x 95""L, 2 Panels, Rod Pocket",Exultantex,47.9,70.8,22.92,58,4.6,Blackout Curtains,Home,True,False,430528189,walmart
PROD_5583bb9508,Jessica London Women's Plus Size Stretch Knit V-Neck Swing Tunic,Jessica London,33.2,37.99,4.75,2,5.0,Plus Size Tops,Clothing,True,False,6013308220,walmart
PROD_d602198c3a,100% Cotton King Percale Duvet Set (3 Piece) Blue Distress Tile Print by Simply Put,Simply Put,50.0,71.99,22.0,101,4.7,King Duvet Covers,Home,True,False,161657830,walmart
PROD_20b510176d,Disney Boys Graphic Tee Donald Duck Short Sleeves T-Shirt Top Summer Outfits Clothes Sizes 3-10T,Disney,13.0,29.0,16.01,15,4.4,Boys Outfit Sets,Clothing,True,False,5397071399,walmart
PROD_2ce5721221,Women's Vanity Fair 75201 Nearly Invisible Full Coverage Underwire Bra (Black 40C),Vanity Fair,28.0,40.0,12.0,95,4.4,Underwire Bras,Clothing,True,False,512809025,walmart
PROD_ec84e19875,IBTOM CASTLE Women's One Piece Rash Guard Swimsuit UV Protection Floral Printed Surfing Zipper Swimwear Bathing Suit Beachwear S Green Leaves,Ibtom Castle,20.0,31.99,12.0,12,4.3,Womens One-piece Swimsuits,Clothing,True,False,2749504314,walmart
PROD_e2f6fb4ee4,a.Jesdani Women's Cardigan Classic Casual Lightweight Knit Cardigan Sweaters S-XXL,a.Jesdani,23.0,25.99,3.0,336,4.2,Womens Workwear Sweaters,Clothing,True,False,5184785010,walmart
PROD_b89cebb8fb,"4th of July Womens Lounger Sleepshirt by Way To Celebrate, Sizes S to 3X",Way To Celebrate,6.09,11.98,5.89,203,4.7,Womens Nightshirts & Gowns,Clothing,True,False,5164703747,walmart
PROD_e2ca91421d,"Vulcanodon Mens Pajama Set 100% Cotton, Long Sleeve Button Down PJ Set for Men Plaid Men's Sleepwear(Red Blue-Plaid, Large)",Vulcanodon,25.0,37.99,13.0,68,4.6,Mens Pajama Sets,Clothing,True,False,5155961106,walmart
PROD_cc7d135087,"Grande Cosmetics GrandeLash MD Eyelash Formula, 2mL (New Packaging)",Grande Cosmetics,37.0,68.0,31.02,6356,4.6,Eyelash Enhancer,Beauty,True,False,908232424,walmart
PROD_b091e8dab8,nuLOOM Vintage Erline Area Rug,nuLOOM,46.5,56.2,9.71,49,4.7,Floor Decor,Home,True,False,904020893,walmart
PROD_221a1b9045,Georgia Giant Work Boot Size 10.5(W),Georgia Boot,123.0,178.53,55.53,242,4.5,Mens Wide Shoes,Clothing,True,False,17245067,walmart
PROD_3ff8083b7b,Amay 800 Thread Count 100% Organic Cotton Short Queen Size 1PC Flat Sheet (90x102 ) Pink Striped,Amay's,49.5,55.0,5.5,8,5.0,Colored Sheets,Home,True,False,2363655537,walmart
PROD_c24cc0a9f7,"Hard Tail Women's French Terry Sweatshirt and Pant Set, 2-Piece, Sizes S-3X",Hard Tail,44.9,59.88,15.0,11,4.2,Womens Two Piece Sets,Clothing,True,False,5702032013,walmart
PROD_629c822df1,Men's The Little Mermaid Vintage Characters  Graphic Tee Turquoise Medium,The Little Mermaid,15.0,18.99,4.0,9,5.0,Men's Disney Tees,Clothing,True,False,781490570,walmart
PROD_2209d74f5d,Aiyino Women's High Waist Yoga Pants Tummy Control Slimming Booty Leggings Workout Running Butt Lift Tights,Aiyino,15.0,16.99,2.0,2,3.0,Womens Workout Bottoms,Clothing,True,False,1341833689,walmart
PROD_200853211a,Jockey Women's Rib Knit Tee,Jockey,20.0,34.0,14.01,86,4.0,Tshirts for Women,Clothing,True,False,3813188391,walmart
PROD_83855cabe8,"Bare Home Cozy Fleece Sheet Set - Extra Plush Polar Fleece - Deep Pocket - Split King, Black",Bare Home,65.0,77.99,13.0,483,4.8,Colored Sheets,Home,True,False,5292666872,walmart
PROD_8a88cf9847,Zenana Womens & Plus Stretch Cotton Foldover Waist Bootcut Workout Yoga Pants,Zenana,11.9,17.99,6.1,131,3.7,Cycling Pants,Sports & Outdoors,True,False,1897403279,walmart
PROD_535cff6c1c,SONGMICS 3-Tier Shoe Rack with Shelves for Closet Entryway Black,SONGMICS,16.0,39.99,24.0,58,4.4,Shoe Racks,Home,True,False,2138573500,walmart
PROD_25233f4f58,MOSHU Summer Womens Tank Tops U Neck Casual Flowy Sleeveless Shirts for Women,MOSHU,14.0,35.99,22.0,1667,4.5,Womens Tank Tops,Clothing,True,False,5219131585,walmart
